PLAYER_NAME,GP,G,AVG_SEAS_ADJ_GPG,ADJ_G,ADJ_GPG,A,AVG_SEAS_ADJ_APG,ADJ_A,ADJ_APG,PTS,AVG_SEAS_ADJ_PTSPG,ADJ_PTS,ADJ_PTSPG
Alex Plante,10,0,0,0,0,2,0.206756545,2.119808031,0.211980803,2,0.21083257,2.161960945,0.216196094
Alex Ritson,1,0,0,0,0,0,0,0,0,0,0,0,0
Alex Selivanov,459,121,0.275200815,129.121641,0.281310765,114,0.254202274,120.2640815,0.26201325,235,0.527597564,248.5432133,0.541488482
Alex Shibicky,324,109,0.377468427,126.5175482,0.39048626,92,0.357131089,121.6871446,0.375577607,201,0.747187059,251.9348544,0.777576711
Alex Singbush,32,0,0,0,0,5,0.192387919,6.156413403,0.192387919,5,0.186174077,5.95757046,0.186174077
Alex Smart,8,5,0.526959854,4.215678829,0.526959854,2,0.224683,1.797463999,0.224683,7,0.767146042,6.137168335,0.767146042
Alex Smith,443,41,0.117377411,57.30190616,0.129349675,51,0.290033252,140.2046921,0.316489147,92,0.376330285,182.6356478,0.412270085
Alex Steen,1018,245,0.268060389,269.1060384,0.264347778,377,0.388652942,394.6932547,0.387714396,622,0.655609296,662.7495073,0.65103095
Alex Tanguay,1088,283,0.289771626,314.2674837,0.28884879,580,0.557927328,615.4853559,0.565703452,863,0.849069521,931.447141,0.856109505
Alex Tidey,9,0,0,0,0,0,0,0,0,0,0,0,0
Alex Tuch,200,43,0.167162583,44.07003625,0.220350181,63,0.230509384,62.56020538,0.312801027,106,0.397211455,106.5249714,0.532624857
Alex Zhamnov,807,249,0.318388388,261.9390724,0.324583733,470,0.5924939,483.8110708,0.599518056,719,0.912175304,746.6413073,0.925206081
Alexander Andrievski,1,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Burmistrov,348,37,0.114496754,41.65322513,0.119693176,64,0.193744986,68.96096642,0.198163697,101,0.308218219,110.5829451,0.317767084
Alexander Edler,873,99,0.124144344,108.7226041,0.124539065,302,0.349273107,315.6171731,0.361531699,401,0.47572288,426.5641133,0.488618687
Alexander Godynyuk,223,10,0.031870779,8.967762273,0.040214181,39,0.112768715,35.40347022,0.158759956,49,0.145060769,44.50125689,0.199557206
Alexander Karpovtsev,596,34,0.05437536,36.29847664,0.060903484,154,0.252973558,161.578867,0.271105482,188,0.309055398,198.8793723,0.333690222
Alexander Kerch,5,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Kerfoot,222,43,0.195391185,44.13726552,0.198816511,70,0.312036535,69.54924258,0.313284877,113,0.507263219,113.6390027,0.5118874
Alexander Kharitonov,71,7,0.058367396,7.704496334,0.108514033,15,0.120067334,15.84888808,0.223223776,22,0.178765436,23.59703761,0.332352642
Alexander Khavanov,348,27,0.085521431,29.87480838,0.085847151,75,0.222463328,81.52599012,0.234270087,102,0.308996217,111.8063063,0.321282489
Alexander Khokhlachev,9,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Korolyuk,296,62,0.216395923,70.78699094,0.23914524,80,0.284389955,88.09154114,0.297606558,142,0.499751177,158.4665827,0.535360077
Alexander Mogilny,990,473,0.454598983,470.6409697,0.475394919,559,0.552087692,550.135279,0.555692201,1032,1.004439181,1018.224773,1.028509872
Alexander Nikulin,3,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Nylander,84,13,0.167692622,13.2498308,0.157736081,19,0.169654857,18.93036742,0.225361517,32,0.335875427,32.14614788,0.382692237
Alexander Perezhogin,128,15,0.119151719,15.34447605,0.119878719,19,0.14345655,18.35148288,0.14337096,34,0.2614977,33.5507106,0.262114927
Alexander Petrovic,263,5,0.012573266,5.454167763,0.02073828,45,0.144463199,47.93498482,0.1822623,50,0.158663868,53.84646483,0.20473941
Alexander Radulov,442,136,0.331230815,144.4413263,0.326790331,198,0.454046268,202.478478,0.458096104,334,0.783548957,346.2270542,0.783319127
Alexander Semak,289,83,0.221744251,75.1900624,0.260173226,91,0.238181978,80.30514927,0.277872489,174,0.458939841,155.130991,0.536785436
Alexander Semin,650,239,0.373782147,264.5978913,0.407073679,278,0.435778107,292.3292089,0.449737245,517,0.805762892,553.9245078,0.85219155
Alexander Suglobov,18,1,0.111278914,1.001510229,0.055639457,0,0,0,0,1,0.107504138,0.967537242,0.053752069
Alexander Sulzer,131,7,0.059333111,7.955597186,0.06072975,15,0.10005998,16.0495124,0.122515362,22,0.159402713,24.05702861,0.18364144
Alexander Svitov,179,13,0.076183481,14.3027103,0.07990341,24,0.155769715,25.41940016,0.142007822,37,0.232332382,39.73465338,0.221981304
Alexander True,12,0,0,0,0,4,0.330337943,3.964055314,0.330337943,4,0.333560542,4.002726501,0.333560542
Alexander Urbom,34,3,0.105790249,3.382375706,0.099481638,1,0.013507985,1.080638813,0.031783495,4,0.116347245,4.38109178,0.128855641
Alexander Vasilevski,4,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Vasyunov,18,1,0.061664561,1.109962099,0.061664561,4,0.234889806,4.228016504,0.234889806,5,0.298994697,5.381904549,0.298994697
Alexander Volkov,9,0,0,0,0,1,0.110081993,0.990737934,0.110081993,1,0.11116748,1.000507321,0.11116748
Alexander Wennberg,415,40,0.103590372,43.52601231,0.104881957,161,0.399979741,169.2334412,0.407791425,201,0.506243855,213.8906367,0.515399124
Alexander Yelesin,4,0,0,0,0,0,0,0,0,0,0,0,0
